appid,name,playtime_forever_min,playtime_forever_hrs,playtime_category,has_trading_cards,card_drops_remaining,achievements_status
1269950,Buddy Simulator 1984,303,5.05,Played,Yes,No,Not Started
473800,Bullet Life 2010,0,0,Never Played,No,No,No Achievements
554530,CRACKHEAD,288,4.8,Played,Yes,No,Completed
344740,CRYPTARK,0,0,Never Played,No,No,Not Started
204450,Call of Juarez Gunslinger,54,0.9,Short Playtime (< 1 hr),Yes,No,Not Started
1857920,Camp Canyonwood Demo,0,0,Never Played,No,No,No Achievements
275490,Canyon Capers,162,2.7,Played,Yes,No,Not Started
1755910,Capcom Arcade 2nd Stadium,0,0,Never Played,Yes,No,Not Started
1515950,Capcom Arcade Stadium,204,3.4,Played,Yes,No,Not Started
920690,CardLife,0,0,Never Played,No,No,No Achievements
704040,Castle Clicker,53,0.88,Short Playtime (< 1 hr),Yes,No,Not Started
651520,Castle Defender,0,0,Never Played,No,No,No Achievements
763400,Cave Runner,54,0.9,Short Playtime (< 1 hr),No,No,Not Started
23460,Ceville,0,0,Never Played,No,No,No Achievements
620130,Chaos Town,206,3.43,Played,Yes,No,Not Started
1978180,Charlotte: Dragon Slayer,0,0,Never Played,No,No,Not Started
1454730,Chenso Club,0,0,Never Played,No,No,Not Started
259340,Chicken Shoot Gold,81,1.35,Played,Yes,No,No Achievements
518120,Chimpact 1 - Chuck's Adventure,73,1.22,Played,No,No,In Progress
790860,Chocolate makes you happy 3,54,0.9,Short Playtime (< 1 hr),No,No,Unknown
844160,Chocolate makes you happy 5,54,0.9,Short Playtime (< 1 hr),No,No,Not Started
864570,Chocolate makes you happy 6,53,0.88,Short Playtime (< 1 hr),No,No,Not Started
292570,Chompy Chomp Chomp,125,2.08,Played,Yes,No,Not Started
539440,Citalis,134,2.23,Played,Yes,No,No Achievements
578590,City Siege: Faction Island,43,0.72,Short Playtime (< 1 hr),Yes,No,Not Started
317410,Color Symphony,134,2.23,Played,No,No,No Achievements
375320,Colortone,369,6.15,Played,Yes,No,No Achievements
6830,Commandos 2: Men of Courage,0,0,Never Played,No,No,No Achievements
228200,Company of Heroes ,303,5.05,Played,Yes,No,No Achievements
4560,Company of Heroes - Legacy Edition,54,0.9,Short Playtime (< 1 hr),Yes,No,No Achievements
231430,Company of Heroes 2,125,2.08,Played,Yes,No,Not Started
1872860,Conrad Stevenson's Paranormal P.I.,0,0,Never Played,No,No,Not Started
2881650,Content Warning,0,0,Never Played,No,No,No Achievements
439930,Control Craft 2,179,2.98,Played,Yes,No,Not Started
10,Counter-Strike,191,3.18,Played,No,No,No Achievements
730,Counter-Strike 2,7072,117.87,Long Playtime (> 10 hrs),Yes,No,Not Started
80,Counter-Strike: Condition Zero,60,1,Played,No,No,No Achievements
100,Counter-Strike: Condition Zero Deleted Scenes,54,0.9,Short Playtime (< 1 hr),No,No,No Achievements
240,Counter-Strike: Source,64,1.07,Played,No,No,Not Started
666960,Cowboy's Adventure,0,0,Never Played,No,No,No Achievements
529420,Crazy Sapper 3D,238,3.97,Played,Yes,No,Not Started
1028730,Creo God Simulator,0,0,Never Played,No,No,Not Started
1061180,Crumble,179,2.98,Played,Yes,No,Not Started
203770,Crusader Kings II,126,2.1,Played,Yes,No,Not Started
1355780,Crushed,295,4.92,Played,Yes,No,Not Started
235720,Cubetractor,920,15.33,Long Playtime (> 10 hrs),No,No,In Progress
349500,Cubicle Quest,91,1.52,Played,Yes,No,No Achievements
1667400,Cute Cats,65,1.08,Played,Yes,No,Not Started
928840,Cybarian: The Time Travelling Warrior,38,0.63,Short Playtime (< 1 hr),Yes,No,Not Started
654350,Cyber Utopia,53,0.88,Short Playtime (< 1 hr),No,No,No Achievements
755980,DEPLOYMENT,65,1.08,Played,No,No,Not Started
395170,DISTRAINT: Deluxe Edition,101,1.68,Played,Yes,No,Not Started
29900,Dark Sector,0,0,Never Played,No,No,No Achievements
280640,Dark Shadows - Army of Evil,108,1.8,Played,Yes,No,No Achievements
50620,Darksiders,0,0,Never Played,No,No,Not Started
606280,Darksiders III,210,3.5,Played,Yes,No,Not Started
462780,Darksiders Warmastered Edition,228,3.8,Played,Yes,No,Not Started
490860,DashBored,54,0.9,Short Playtime (< 1 hr),Yes,No,Not Started
303390,Dead Bits,175,2.92,Played,Yes,No,No Achievements
383180,Dead Island Riptide Definitive Edition,0,0,Never Played,Yes,No,Not Started
667890,Dead Maze,72,1.2,Played,Yes,No,Not Started
381210,Dead by Daylight,1319,21.98,Long Playtime (> 10 hrs),Yes,No,Not Started
311730,Dead or Alive 5 Last Round,54,0.9,Short Playtime (< 1 hr),No,No,Not Started
520720,Dear Esther: Landmark Edition,38,0.63,Short Playtime (< 1 hr),No,No,Not Started
414550,Death Toll,54,0.9,Short Playtime (< 1 hr),No,No,Not Started
9800,Death to Spies,80,1.33,Played,No,No,No Achievements
34410,Death to Spies: Moment of Truth,80,1.33,Played,No,No,No Achievements
603150,Defence to death,138,2.3,Played,Yes,No,Not Started
760620,Deiland,54,0.9,Short Playtime (< 1 hr),Yes,No,Not Started
1623700,Deiland: Pocket Planet Edition,54,0.9,Short Playtime (< 1 hr),No,No,Not Started
470740,Demolish & Build 2017,54,0.9,Short Playtime (< 1 hr),No,No,No Achievements
292910,Deponia: The Complete Journey,138,2.3,Played,Yes,No,Not Started
1221230,Derange,0,0,Never Played,No,No,Not Started
226620,Desktop Dungeons,0,0,Never Played,Yes,No,Not Started
1976950,Desktop Dungeons: Rewind,0,0,Never Played,No,No,Not Started
671510,Desolate,181,3.02,Played,Yes,No,Not Started
699920,Despotism 3k,0,0,Never Played,Yes,No,Not Started
1085660,Destiny 2,1194,19.9,Long Playtime (> 10 hrs),No,No,Not Started
919220,Destiny or Fate,88,1.47,Played,No,No,Not Started
1316800,Destropolis,0,0,Never Played,No,No,Not Started
1194490,Dethcube,54,0.9,Short Playtime (< 1 hr),No,No,No Achievements
1670880,Devils Gold,54,0.9,Short Playtime (< 1 hr),No,No,No Achievements
310560,DiRT Rally,137,2.28,Played,Yes,No,Not Started
284220,Diadra Empty,221,3.68,Played,Yes,No,Not Started
663920,Died Of Fear,56,0.93,Short Playtime (< 1 hr),No,No,No Achievements
379600,Diner Mania,81,1.35,Played,No,No,No Achievements
847400,Disgaea 5 Complete Demo,1,0.02,Short Playtime (< 1 hr),No,No,No Achievements
1075950,Disintegration Technical Beta,80,1.33,Played,No,No,No Achievements
569610,Distant Space,197,3.28,Played,Yes,No,Not Started
729460,Distant Space 2,0,0,Never Played,No,No,Not Started
1059380,Dollhouse Open Beta,1,0.02,Short Playtime (< 1 hr),No,No,No Achievements
570,Dota 2,1616,26.93,Long Playtime (> 10 hrs),Yes,No,No Achievements
289840,Dracula 3: The Path of the Dragon,66,1.1,Played,No,No,No Achievements
279560,Dracula 4 and  5 - Special Steam Edition,66,1.1,Played,No,No,No Achievements
769370,Dragon Boar and Lady Rabbit,0,0,Never Played,No,No,No Achievements
418270,Draw Slasher,79,1.32,Played,Yes,No,In Progress
442070,Drawful 2,52,0.87,Short Playtime (< 1 hr),No,No,Not Started
803110,Dread station,165,2.75,Played,No,No,No Achievements
3463050,Dreams of Aether,0,0,Never Played,No,No,Not Started
718650,Driftland: The Magic Revival,97,1.62,Played,Yes,No,Not Started
556130,"Drones, The Human Condition",71,1.18,Played,Yes,No,Not Started
290000,DubWars,180,3,Played,Yes,No,Not Started
495910,Dungeon Fighter Online,0,0,Never Played,Yes,No,Not Started
302310,Dungeon of Elements,341,5.68,Played,Yes,No,Not Started
249050,Dungeon of the ENDLESS™,0,0,Never Played,Yes,No,Not Started
766370,Dying Light: Bad Blood,130,2.17,Played,Yes,No,No Achievements
727850,ELDERBORN,169,2.82,Played,Yes,No,Not Started
289130,ENDLESS™ Legend,398,6.63,Played,Yes,No,Not Started
208140,ENDLESS™ Space - Definitive Edition,319,5.32,Played,Yes,No,Not Started
392110,ENDLESS™ Space 2,371,6.18,Played,Yes,No,Not Started
232050,Eador. Masters of the Broken World,136,2.27,Played,Yes,No,Not Started
253880,Earth 2150 Trilogy,121,2.02,Played,Yes,No,No Achievements
259300,Earth 2150: Lost Souls,63,1.05,Played,No,No,No Achievements
259280,Earth 2150: The Moon Project,63,1.05,Played,No,No,No Achievements
391580,Egyptian Senet,80,1.33,Played,No,No,No Achievements
509840,El Ninja (Beta),214,3.57,Played,Yes,No,In Progress
1858910,Elderand Demo,0,0,Never Played,No,No,No Achievements
1062830,Embr,259,4.32,Played,Yes,No,Not Started
833390,En Tactico,0,0,Never Played,No,No,No Achievements
253980,Enclave,92,1.53,Played,Yes,No,No Achievements
428430,Endorlight,146,2.43,Played,Yes,No,No Achievements
467370,Escape This,191,3.18,Played,Yes,No,Not Started
582890,Estranged: The Departure,71,1.18,Played,No,No,Not Started
1049590,Eternal Return,0,0,Never Played,Yes,No,No Achievements
3720,Evil Genius,63,1.05,Played,No,No,No Achievements
359310,Evoland 2,88,1.47,Played,No,No,Not Started
1020470,Evoland Legendary Edition,51,0.85,Short Playtime (< 1 hr),No,No,Not Started
510840,Evolvation,188,3.13,Played,Yes,No,Not Started
505740,Eximius: Seize the Frontline,288,4.8,Played,Yes,No,Not Started
21100,F.E.A.R. 3,57,0.95,Short Playtime (< 1 hr),No,No,Not Started
286570,F1 2015,224,3.73,Played,Yes,No,Not Started
737800,F1 2018,70,1.17,Played,No,No,Not Started
1506830,FIFA 22,1088,18.13,Long Playtime (> 10 hrs),No,No,In Progress
2484110,FINAL FANTASY VII EVER CRISIS,0,0,Never Played,Yes,No,Not Started
265000,FORCED SHOWDOWN,0,0,Never Played,No,No,Not Started
427520,Factorio,2031,33.85,Long Playtime (> 10 hrs),No,No,In Progress
397060,Faeria,80,1.33,Played,Yes,No,Not Started
770400,Fairy of the treasures,76,1.27,Played,No,No,Completed
670090,FallenCore,56,0.93,Short Playtime (< 1 hr),No,No,Not Started
1025440,Fantasy General II,0,0,Never Played,Yes,No,Not Started
575920,Felix Jumpman,215,3.58,Played,Yes,No,No Achievements
660160,Field of Glory II,0,0,Never Played,No,No,Not Started
1368870,Field of Glory II: Medieval,0,0,Never Played,No,No,Not Started
493540,Figment,0,0,Never Played,Yes,No,Not Started
564210,Fishermurs,190,3.17,Played,Yes,No,Not Started
380600,Fishing Planet,223,3.72,Played,No,No,Not Started
661000,Flow:The Sliding,80,1.33,Played,No,No,Not Started
324090,Football Club Simulator - FCS #21,0,0,Never Played,No,No,Not Started
664870,Forgotten Faces,56,0.93,Short Playtime (< 1 hr),No,No,No Achievements
334210,Fortified,134,2.23,Played,Yes,No,Not Started
751240,Fractured Lands,71,1.18,Played,No,No,No Achievements
795100,Friday the 13th: Killer Puzzle,243,4.05,Played,Yes,No,In Progress
878580,GARAGE: Bad Trip,149,2.48,Played,Yes,No,Not Started
555000,GOAT OF DUTY,71,1.18,Played,Yes,No,Not Started
44350,GRID 2,159,2.65,Played,Yes,No,In Progress
683320,GRIS,569,9.48,Played,Yes,No,In Progress
202200,Galactic Civilizations II: Ultimate Edition,57,0.95,Short Playtime (< 1 hr),No,No,No Achievements
266310,GameGuru Classic,66,1.1,Played,Yes,No,No Achievements
1078000,Gamecraft,51,0.85,Short Playtime (< 1 hr),No,No,No Achievements
350300,Gang of Four,47,0.78,Short Playtime (< 1 hr),No,No,No Achievements
1085510,Garfield Kart - Furious Racing,0,0,Never Played,No,No,Not Started
565020,Global Adventures,71,1.18,Played,Yes,No,No Achievements
200020,Global Ops: Commando Libya,98,1.63,Played,Yes,No,Not Started
251870,Go! Go! Nippon! ~My First Trip to Japan~,63,1.05,Played,Yes,No,No Achievements
437570,GoNNER,232,3.87,Played,Yes,No,Not Started
770500,Goblin Gearshop,46,0.77,Short Playtime (< 1 hr),No,No,No Achievements
843500,God Vs Zombies,57,0.95,Short Playtime (< 1 hr),No,No,No Achievements
1245430,Golden Light,0,0,Never Played,Yes,No,Not Started
253920,Gorky 17,366,6.1,Played,Yes,No,No Achievements
1496790,Gotham Knights,37,0.62,Short Playtime (< 1 hr),No,No,Not Started
546410,Grab the Bottle,190,3.17,Played,Yes,No,Not Started
1247360,Grand Mountain Adventure,0,0,Never Played,No,No,Not Started
657590,Grav Blazer,56,0.93,Short Playtime (< 1 hr),No,No,Not Started
549100,GravNewton,96,1.6,Played,Yes,No,Not Started
363480,Grave Prosperity: Redux- part 1,0,0,Never Played,No,No,No Achievements
1326540,Gravewood High Demo,63,1.05,Played,No,No,No Achievements
454970,Gravity Den,172,2.87,Played,Yes,No,Not Started
465050,Grey Phobia,64,1.07,Played,No,No,No Achievements
219990,Grim Dawn,137,2.28,Played,Yes,No,Not Started
