appid,name,playtime_forever_min,playtime_forever_hrs,playtime_category,has_trading_cards,card_drops_remaining,achievements_status
294230,Millie,197,3.28,Played,Yes,No,Not Started
498660,Mind Spheres,114,1.9,Played,Yes,No,In Progress
481870,Mini Thief,153,2.55,Played,Yes,No,Not Started
585690,Minimalism,228,3.8,Played,Yes,No,Not Started
489520,Minion Masters,70,1.17,Played,Yes,No,Not Started
17410,Mirror's Edge,302,5.03,Played,Yes,No,No Achievements
526790,Monsti,179,2.98,Played,Yes,No,No Achievements
922630,Mortal Royale,63,1.05,Played,No,No,No Achievements
778590,Mountain Troll,46,0.77,Short Playtime (< 1 hr),No,No,No Achievements
796640,Mr.Jezko,80,1.33,Played,No,No,In Progress
1818750,MultiVersus,672,11.2,Long Playtime (> 10 hrs),No,No,Not Started
613900,Museum of Other Realities,58,0.97,Short Playtime (< 1 hr),No,No,No Achievements
363860,MythForce,0,0,Never Played,No,No,Not Started
839910,Mythgard,57,0.95,Short Playtime (< 1 hr),No,No,No Achievements
1203220,NARAKA: BLADEPOINT,1238,20.63,Long Playtime (> 10 hrs),Yes,No,Not Started
624690,NEXT JUMP: Shmup Tactics,0,0,Never Played,Yes,No,Not Started
7860,NecroVisioN,0,0,Never Played,No,No,No Achievements
628950,Nephise Begins,51,0.85,Short Playtime (< 1 hr),Yes,No,Not Started
1454970,New Tales from the Borderlands,0,0,Never Played,No,No,Not Started
613280,Next Up Hero Beta,58,0.97,Short Playtime (< 1 hr),No,No,No Achievements
219950,NiGHTS into Dreams...,57,0.95,Short Playtime (< 1 hr),No,No,Not Started
781610,Night Fly,46,0.77,Short Playtime (< 1 hr),No,No,Not Started
485450,Ninja Stealth,0,0,Never Played,Yes,No,Not Started
1929870,Nomad Survival,0,0,Never Played,No,No,Not Started
400370,Normality,260,4.33,Played,Yes,No,No Achievements
2337860,Nubs!,0,0,Never Played,No,No,Not Started
540900,Nuclear Contingency,99,1.65,Played,Yes,No,Not Started
301700,Numba Deluxe,41,0.68,Short Playtime (< 1 hr),No,No,No Achievements
378100,Nyctophobia,125,2.08,Played,Yes,No,Not Started
719120,O'Fox life,70,1.17,Played,No,No,Not Started
952440,OVERKILL's The Walking Dead - BETA,0,0,Never Played,No,No,No Achievements
15700,Oddworld: Abe's Oddysee,163,2.72,Played,Yes,No,No Achievements
769920,Odysseus Kosmos and his Robot Quest - Episode 1,46,0.77,Short Playtime (< 1 hr),No,No,Not Started
1343370,Old School RuneScape,1483,24.72,Long Playtime (> 10 hrs),Yes,No,Not Started
969760,Omno,0,0,Never Played,No,No,Not Started
840180,On Board 4 PC,57,0.95,Short Playtime (< 1 hr),No,No,No Achievements
757290,On Board Game,70,1.17,Played,No,No,No Achievements
588110,One Dog Story,292,4.87,Played,Yes,No,Not Started
264200,One Finger Death Punch,133,2.22,Played,No,No,Not Started
584780,Operation swat,142,2.37,Played,Yes,No,No Achievements
544180,Orbox C,216,3.6,Played,Yes,No,Not Started
261570,Ori and the Blind Forest,201,3.35,Played,Yes,No,Not Started
387290,Ori and the Blind Forest: Definitive Edition,1891,31.52,Long Playtime (> 10 hrs),No,No,In Progress
1057090,Ori and the Will of the Wisps,2262,37.7,Long Playtime (> 10 hrs),Yes,No,In Progress
491950,Orwell,218,3.63,Played,Yes,No,Not Started
293180,Overcast - Walden and the Werewolf,208,3.47,Played,Yes,No,No Achievements
765260,Overhead,117,1.95,Played,No,No,No Achievements
555070,Overload Multiplayer Beta,1,0.02,Short Playtime (< 1 hr),No,No,No Achievements
441380,PAC-MAN™ CHAMPIONSHIP EDITION 2,53,0.88,Short Playtime (< 1 hr),Yes,No,Not Started
218620,PAYDAY 2,319,5.32,Played,Yes,No,In Progress
232770,POSTAL,120,2,Played,Yes,No,Not Started
578080,PUBG: BATTLEGROUNDS,965,16.08,Long Playtime (> 10 hrs),No,No,In Progress
444090,Paladins,631,10.52,Long Playtime (> 10 hrs),Yes,No,Not Started
596350,Paladins - Public Test,1,0.02,Short Playtime (< 1 hr),No,No,No Achievements
2707930,Palia,46,0.77,Short Playtime (< 1 hr),No,No,Not Started
418670,Pankapu,0,0,Never Played,Yes,No,Not Started
610570,Paradox Soul,0,0,Never Played,Yes,No,No Achievements
343360,Particula,146,2.43,Played,Yes,No,No Achievements
2796010,Party Club,0,0,Never Played,Yes,No,Not Started
238960,Path of Exile,1057,17.62,Long Playtime (> 10 hrs),Yes,No,Not Started
57620,Patrician IV: Steam Special Edition,39,0.65,Short Playtime (< 1 hr),No,No,No Achievements
1013310,Peaky Blinders: Mastermind,0,0,Never Played,No,No,Not Started
346290,Penumbra: Necrologue,68,1.13,Played,No,No,No Achievements
572890,Pikuniku,216,3.6,Played,Yes,No,Not Started
2328760,Pinball FX,0,0,Never Played,No,No,Not Started
442120,Pinball FX3,52,0.87,Short Playtime (< 1 hr),No,No,Not Started
254040,Pirates of Black Cove Gold,63,1.05,Played,No,No,No Achievements
490510,Pixel Puzzles 2: Christmas,229,3.82,Played,Yes,No,Not Started
504880,Pixel Puzzles 2: RADical ROACH,140,2.33,Played,Yes,No,Not Started
1005240,Pixel Puzzles Illustrations & Anime Jigsaw Puzzles,0,0,Never Played,No,No,Not Started
1058200,Pixel Puzzles Traditional Jigsaw Puzzles,51,0.85,Short Playtime (< 1 hr),No,No,Not Started
285010,Pixel Puzzles: UndeadZ,135,2.25,Played,Yes,No,Not Started
218510,Planets Under Attack,181,3.02,Played,Yes,No,Not Started
778850,Please close the doors,46,0.77,Short Playtime (< 1 hr),No,No,No Achievements
1455900,Plunder Panic,38,0.63,Short Playtime (< 1 hr),No,No,Not Started
368180,Polyball,88,1.47,Played,Yes,No,Not Started
684680,Polygoneer,56,0.93,Short Playtime (< 1 hr),Yes,No,Not Started
243280,Poof,117,1.95,Played,Yes,No,Not Started
400,Portal,0,0,Never Played,No,No,Not Started
620,Portal 2,809,13.48,Long Playtime (> 10 hrs),Yes,No,In Progress
247120,Portal 2 Sixense Perceptual Pack,62,1.03,Played,No,No,No Achievements
2012840,Portal with RTX,0,0,Never Played,No,No,Not Started
763490,Precision Archery: Competitive,71,1.18,Played,No,No,No Achievements
368780,President for a Day - Corruption,290,4.83,Played,Yes,No,Not Started
522040,Princess Remedy In A Heap of Trouble,63,1.05,Played,Yes,No,No Achievements
490220,Prismata,246,4.1,Played,Yes,No,Not Started
1214520,Pro Gymnast,57,0.95,Short Playtime (< 1 hr),No,No,Not Started
388160,Project Druid - 2D Labyrinth Explorer-,84,1.4,Played,Yes,No,No Achievements
684460,Project Lucie,56,0.93,Short Playtime (< 1 hr),No,No,No Achievements
702150,Project Mercury,56,0.93,Short Playtime (< 1 hr),No,No,Not Started
575760,Project: R.E.B.O.O.T 2,219,3.65,Played,Yes,No,No Achievements
3830,Psychonauts,163,2.72,Played,Yes,No,Not Started
740410,Puzzle Chambers,70,1.17,Played,No,No,Not Started
366990,Puzzle Station 15th Anniversary Retro Release,88,1.47,Played,No,No,No Achievements
252550,Qbeh-1: The Atlas Cube,190,3.17,Played,Yes,No,Not Started
611500,Quake Champions,321,5.35,Played,No,No,Not Started
286120,QuestRun,121,2.02,Played,Yes,No,Not Started
351510,Quiplash,48,0.8,Short Playtime (< 1 hr),No,No,Not Started
8650,RACE 07: Andy Priaulx Crowne Plaza Raceway,65,1.08,Played,No,No,No Achievements
220700,RPG Maker VX Ace,0,0,Never Played,Yes,No,No Achievements
235900,RPG Maker XP,0,0,Never Played,No,No,No Achievements
727480,Reach Me,0,0,Never Played,No,No,Not Started
292390,Realms of the Haunting,0,0,Never Played,No,No,No Achievements
448070,Red Risk,121,2.02,Played,Yes,No,Not Started
1140630,Red Wings,133,2.22,Played,No,No,Not Started
362400,Regimental Chess,438,7.3,Played,Yes,No,No Achievements
680360,Regions Of Ruin,56,0.93,Short Playtime (< 1 hr),Yes,No,Not Started
941570,Relicta,0,0,Never Played,No,No,Not Started
228300,Remember Me,845,14.08,Long Playtime (> 10 hrs),Yes,No,In Progress
431810,Rencounter,217,3.62,Played,Yes,No,Not Started
99300,Renegade Ops,66,1.1,Played,No,No,Not Started
500870,Riddles Of The Past,232,3.87,Played,Yes,No,Not Started
418460,Rising Storm 2: Vietnam,195,3.25,Played,Yes,No,Not Started
405760,Robot Squad Simulator 2017,62,1.03,Played,No,No,Not Started
1554970,Rogue Spirit,209,3.48,Played,Yes,No,Not Started
262470,Rollers of the Realm,149,2.48,Played,Yes,No,Not Started
397720,Romance of the Three Kingdoms Maker,113,1.88,Played,No,No,No Achievements
286440,Rover Rescue,66,1.1,Played,No,No,No Achievements
3136050,Royal Revolt Survivors Demo,0,0,Never Played,No,No,No Achievements
435120,Rusty Lake Hotel,52,0.87,Short Playtime (< 1 hr),Yes,No,Not Started
71240,SEGA Bass Fishing,0,0,Never Played,No,No,Not Started
34270,SEGA Mega Drive & Genesis Classics,85,1.42,Played,Yes,No,Not Started
1144770,SLUDGE LIFE,0,0,Never Played,No,No,Not Started
802240,SOS: Classic,0,0,Never Played,No,No,No Achievements
494580,STANDBY,147,2.45,Played,Yes,No,Not Started
1286830,STAR WARS™: The Old Republic™,408,6.8,Played,Yes,No,Not Started
1124660,STORM AREA 51: AYY LMAO EDITION,366,6.1,Played,Yes,No,Not Started
1283700,SUPERVIVE,0,0,Never Played,No,No,No Achievements
984110,SYNTHETIK: Arena,66,1.1,Played,No,No,No Achievements
9480,Saints Row 2,191,3.18,Played,No,No,No Achievements
8260,Sam & Max 201: Ice Station Santa,61,1.02,Played,No,No,No Achievements
8270,Sam & Max 202: Moai Better Blues,57,0.95,Short Playtime (< 1 hr),No,No,No Achievements
8280,Sam & Max 203: Night of the Raving Dead,57,0.95,Short Playtime (< 1 hr),No,No,No Achievements
8290,Sam & Max 204: Chariots of the Dogs,57,0.95,Short Playtime (< 1 hr),No,No,No Achievements
8300,Sam & Max 205: What's New Beelzebub?,57,0.95,Short Playtime (< 1 hr),No,No,No Achievements
31220,Sam & Max 301: The Penal Zone,48,0.8,Short Playtime (< 1 hr),No,No,No Achievements
31230,Sam & Max 302: The Tomb of Sammun-Mak,118,1.97,Played,No,No,No Achievements
31240,Sam & Max 303: They Stole Max's Brain!,47,0.78,Short Playtime (< 1 hr),No,No,No Achievements
31250,Sam & Max 304: Beyond the Alley of the Dolls,47,0.78,Short Playtime (< 1 hr),No,No,No Achievements
31260,Sam & Max 305: The City that Dares not Sleep,48,0.8,Short Playtime (< 1 hr),No,No,No Achievements
210770,Sanctum 2,223,3.72,Played,Yes,No,Not Started
551570,Sarab: Duji Tower,71,1.18,Played,No,No,No Achievements
268870,Satellite Reign,256,4.27,Played,Yes,No,Not Started
567780,Satellite Repairman,142,2.37,Played,Yes,No,Not Started
698670,Scorn,153,2.55,Played,Yes,No,Not Started
465760,Scrap Garden,64,1.07,Played,Yes,No,Not Started
253940,Septerra Core,249,4.15,Played,Yes,No,No Achievements
272060,Serena,62,1.03,Played,No,No,No Achievements
522210,Serial Cleaner,364,6.07,Played,Yes,No,In Progress
204340,Serious Sam 2,57,0.95,Short Playtime (< 1 hr),No,No,No Achievements
41070,Serious Sam 3: BFE,113,1.88,Played,Yes,No,Not Started
564310,Serious Sam Fusion 2017 (beta),71,1.18,Played,No,No,Not Started
233130,Shadow Warrior,121,2.02,Played,Yes,No,Not Started
234650,Shadowrun Returns,172,2.87,Played,Yes,No,No Achievements
585450,Shadows: Awakening,294,4.9,Played,Yes,No,Not Started
422250,ShipLord,164,2.73,Played,Yes,No,Not Started
804970,Shoottera,0,0,Never Played,No,No,No Achievements
1258080,Shop Titans,94,1.57,Played,Yes,No,Not Started
1076280,Showdown Bandit,51,0.85,Short Playtime (< 1 hr),No,No,Not Started
364210,Sierra Ops,325,5.42,Played,Yes,No,Not Started
809320,Silent Tweets,0,0,Never Played,No,No,Not Started
814200,Simple Story - Alex,46,0.77,Short Playtime (< 1 hr),No,No,Not Started
204880,Sins of a Solar Empire: Rebellion,170,2.83,Played,Yes,No,Not Started
308600,Skillshot City,144,2.4,Played,Yes,No,Not Started
315320,Skilltree Saga,0,0,Never Played,No,No,Not Started
756190,Sky Road,70,1.17,Played,No,No,Not Started
679430,Skyraine,56,0.93,Short Playtime (< 1 hr),No,No,Not Started
816670,Slayer Of Traitors,46,0.77,Short Playtime (< 1 hr),No,No,No Achievements
542340,Slingshot people,100,1.67,Played,Yes,No,No Achievements
306350,Slipstream 5000,92,1.53,Played,Yes,No,No Achievements
485500,Smithy,168,2.8,Played,Yes,No,No Achievements
544330,Snake Pass,253,4.22,Played,Yes,No,Not Started
553340,SolarGun,285,4.75,Played,Yes,No,In Progress
200940,Sonic CD,8,0.13,Short Playtime (< 1 hr),No,No,In Progress
659190,"Sorry, James",41,0.68,Short Playtime (< 1 hr),Yes,No,Not Started
740210,"Sorry, James Demo",0,0,Never Played,No,No,No Achievements
369180,SoulCraft,0,0,Never Played,No,No,Not Started
283310,Soulbringer,66,1.1,Played,No,No,No Achievements
547960,Space Beret,104,1.73,Played,Yes,No,Not Started
1176710,Space Crew: Legendary Edition,0,0,Never Played,Yes,No,Not Started
1610,Space Empires IV Deluxe,0,0,Never Played,No,No,No Achievements
429470,Space Pilgrim Episode I: Alpha Centauri,74,1.23,Played,Yes,No,Not Started
431710,Space Pilgrim Episode II: Epsilon Indi,69,1.15,Played,Yes,No,Not Started
446640,Space Pilgrim Episode IV: Sol,181,3.02,Played,Yes,No,Not Started
253650,Sparkle 2 Evo,215,3.58,Played,Yes,No,In Progress
50300,Spec Ops: The Line,64,1.07,Played,No,No,Not Started
360620,Spellsworn,269,4.48,Played,Yes,No,No Achievements
528660,Spin Rush,257,4.28,Played,Yes,No,Not Started
1213700,Spirit of the North,228,3.8,Played,Yes,No,Not Started
2918300,Splitgate 2,0,0,Never Played,No,No,Not Started
1731590,Squadron 51 - Prologue,75,1.25,Played,No,No,No Achievements
711930,Square Head Zombies,0,0,Never Played,No,No,Not Started
383330,Star Chronicles: Delta Quadrant,128,2.13,Played,Yes,No,Not Started
46270,Star Wolves,219,3.65,Played,No,No,No Achievements
525300,Starship Annihilator,127,2.12,Played,Yes,No,Not Started
408750,Starsphere,428,7.13,Played,Yes,No,Not Started
584890,Stayin' Alive,168,2.8,Played,Yes,No,Not Started
209190,Stealth Bastard Deluxe,175,2.92,Played,Yes,No,Not Started
252410,SteamWorld Dig,139,2.32,Played,Yes,No,Not Started
571310,SteamWorld Dig 2,117,1.95,Played,Yes,No,Not Started
619700,Steel Rats,58,0.97,Short Playtime (< 1 hr),Yes,No,Not Started
439190,Stories: The Path of Destinies,249,4.15,Played,Yes,No,Not Started
847660,Story: Heaven & Hell,57,0.95,Short Playtime (< 1 hr),No,No,Not Started
385150,Stranded In Time,300,5,Played,Yes,No,No Achievements
1621990,Stray Blade,360,6,Played,Yes,No,Not Started
1261040,Streamer Life Simulator,0,0,Never Played,No,No,Not Started
235210,Strider,297,4.95,Played,Yes,No,In Progress
1282270,Strinova,0,0,Never Played,No,No,No Achievements
232890,Stronghold Crusader 2,234,3.9,Played,Yes,No,In Progress
818790,Stunt Hill,65,1.08,Played,No,No,No Achievements
303610,Suicide Guy,58,0.97,Short Playtime (< 1 hr),Yes,No,Not Started
1316760,Suicide Guy VR,80,1.33,Played,Yes,No,Not Started
860860,Suicide Guy: Sleepin' Deeply,23,0.38,Short Playtime (< 1 hr),Yes,No,Not Started
2076250,Sunday Gold: Prologue,0,0,Never Played,No,No,No Achievements
772480,Super Inefficient Golf,69,1.15,Played,No,No,Not Started
745340,Super Meat Shooter,70,1.17,Played,No,No,No Achievements
606140,Survived By,58,0.97,Short Playtime (< 1 hr),No,No,No Achievements
464920,Surviving Mars,164,2.73,Played,Yes,No,Not Started
63500,Swords and Soldiers HD,60,1,Played,No,No,Not Started
46500,Syberia,64,1.07,Played,Yes,No,No Achievements
46510,Syberia 2,140,2.33,Played,Yes,No,No Achievements
443910,TGV Voyages Train Simulator,0,0,Never Played,No,No,No Achievements
2073850,THE FINALS,0,0,Never Played,No,No,Not Started
341540,TRIP Steam Edition,52,0.87,Short Playtime (< 1 hr),No,No,No Achievements
330830,Tales from the Borderlands,0,0,Never Played,No,No,Not Started
755230,Target speed,0,0,Never Played,No,No,No Achievements
440,Team Fortress 2,3591,59.85,Long Playtime (> 10 hrs),Yes,No,Not Started
846820,Tell Me Everything,57,0.95,Short Playtime (< 1 hr),No,No,Not Started
1180660,Tell Me Why,57,0.95,Short Playtime (< 1 hr),No,No,Not Started
261510,Tesla Effect,144,2.4,Played,Yes,No,No Achievements
608990,The Archotek Project,0,0,Never Played,Yes,No,Not Started
845070,The Awesome Adventures of Captain Spirit,57,0.95,Short Playtime (< 1 hr),No,No,No Achievements
1889640,The Backrooms: Survival,0,0,Never Played,No,No,Not Started
65930,The Bureau: XCOM Declassified,121,2.02,Played,Yes,No,Not Started
1577250,The Chant,0,0,Never Played,No,No,Not Started
939850,The Dark Pictures Anthology: Man of Medan,113,1.88,Played,Yes,No,Not Started
346950,The Dark Stone from Mebara,119,1.98,Played,Yes,No,No Achievements
67370,The Darkness II,56,0.93,Short Playtime (< 1 hr),No,No,Not Started
420740,The Deed,291,4.85,Played,Yes,No,Not Started
351940,The Descendant,162,2.7,Played,Yes,No,In Progress
699480,The Doorbreaker,0,0,Never Played,No,No,Not Started
94300,The Dream Machine,202,3.37,Played,Yes,No,In Progress
72850,The Elder Scrolls V: Skyrim,185,3.08,Played,Yes,No,Not Started
601430,The Evil Within 2,1192,19.87,Long Playtime (> 10 hrs),Yes,No,In Progress
318600,The Flame in the Flood,103,1.72,Played,Yes,No,Not Started
279720,The I of the Dragon,34,0.57,Short Playtime (< 1 hr),Yes,No,No Achievements
640590,The LEGO® NINJAGO® Movie Video Game,58,0.97,Short Playtime (< 1 hr),No,No,Not Started
522570,The Last Hope,220,3.67,Played,Yes,No,Not Started
1888930,The Last of Us™ Part I,484,8.07,Played,Yes,No,Not Started
1412340,The Legend of Tianding Demo,0,0,Never Played,No,No,No Achievements
774711,The MagiCats Best Of,46,0.77,Short Playtime (< 1 hr),No,No,Not Started
399420,The Prism,240,4,Played,Yes,No,No Achievements
857240,The Prison Experiment,56,0.93,Short Playtime (< 1 hr),No,No,No Achievements
1506510,The Ramp,0,0,Never Played,No,No,Not Started
265590,The Red Solstice,271,4.52,Played,Yes,No,Not Started
566190,The Search,71,1.18,Played,Yes,No,Not Started
1222670,The Sims™ 4,49,0.82,Short Playtime (< 1 hr),Yes,No,No Achievements
709700,The Thing: Space X,65,1.08,Played,No,No,Not Started
96000,The Tiny Bang Story,245,4.08,Played,Yes,No,No Achievements
433100,The Town of Light,230,3.83,Played,Yes,No,Not Started
406970,The Uncertain: Last Quiet Day,231,3.85,Played,Yes,No,Not Started
726160,The Under,75,1.25,Played,No,No,No Achievements
37000,The Void,131,2.18,Played,Yes,No,No Achievements
207610,The Walking Dead,127,2.12,Played,Yes,No,Not Started
601640,The guard of dungeon,140,2.33,Played,Yes,No,Not Started
828440,The other side of the screen,65,1.08,Played,No,No,No Achievements
46290,Theatre of War,0,0,Never Played,No,No,No Achievements
1700700,There Is No Light 616,66,1.1,Played,No,No,No Achievements
282070,This War of Mine,188,3.13,Played,Yes,No,Not Started
513340,Through Abandoned: The Forest,197,3.28,Played,Yes,No,Not Started
389270,Through Abandoned: The Underground City,252,4.2,Played,Yes,No,Not Started
548720,Through the Mirror,220,3.67,Played,Yes,No,Not Started
509310,ThrounnelVR,95,1.58,Played,Yes,No,No Achievements
803390,Thunderbolt,65,1.08,Played,No,No,No Achievements
600430,Ticket to Ride: First Journey,59,0.98,Short Playtime (< 1 hr),No,No,Not Started
673450,Time Lock VR 1 ,65,1.08,Played,No,No,No Achievements
1712840,Tiny Tina's Assault on Dragon Keep: A Wonderlands One-shot Adventure,0,0,Never Played,No,No,Not Started
475150,Titan Quest Anniversary Edition,64,1.07,Played,Yes,No,Not Started
297130,Titan Souls,66,1.1,Played,No,No,Not Started
1550270,Togges,0,0,Never Played,No,No,Not Started
584210,Tom Clancy's Ghost Recon Wildlands Open Beta,0,0,Never Played,No,No,No Achievements
203160,Tomb Raider,182,3.03,Played,Yes,No,Not Started
8140,Tomb Raider: Underworld,0,0,Never Played,No,No,No Achievements
34330,Total War: SHOGUN 2,48,0.8,Short Playtime (< 1 hr),Yes,No,Not Started
823130,Totally Accurate Battlegrounds,49,0.82,Short Playtime (< 1 hr),No,No,No Achievements
679740,Totally Mayhem,56,0.93,Short Playtime (< 1 hr),No,No,No Achievements
1788110,Tower Princess: Knight's Trial,0,0,Never Played,No,No,No Achievements
24010,Train Simulator Classic 2024,0,0,Never Played,Yes,No,Not Started
835950,Transpose,57,0.95,Short Playtime (< 1 hr),No,No,Not Started
827640,Trash Story,57,0.95,Short Playtime (< 1 hr),No,No,Not Started
855700,Trippy Jump,56,0.93,Short Playtime (< 1 hr),No,No,Not Started
804600,Trivia Vault Football Trivia,0,0,Never Played,No,No,Not Started
805880,Trivia Vault Olympics Trivia,0,0,Never Played,No,No,Not Started
693880,Trivia Vault: 1980's Trivia 2,0,0,Never Played,No,No,Not Started
821520,Trivia Vault: Boxing Trivia,0,0,Never Played,No,No,Not Started
858420,Trivia Vault: Business Trivia,0,0,Never Played,No,No,Not Started
849620,Trivia Vault: Celebrity Trivia,0,0,Never Played,No,No,Not Started
690240,Trivia Vault: Classic Rock Trivia,67,1.12,Played,No,No,Not Started
693890,Trivia Vault: Classic Rock Trivia 2,0,0,Never Played,No,No,Not Started
860350,Trivia Vault: Fashion Trivia,0,0,Never Played,No,No,Not Started
861720,Trivia Vault: Food Trivia,0,0,Never Played,No,No,Not Started
822900,Trivia Vault: Golf Trivia,0,0,Never Played,No,No,Not Started
781760,Trivia Vault: Health Trivia Deluxe,0,0,Never Played,No,No,Not Started
710120,Trivia Vault: Mini Mixed Trivia 4,59,0.98,Short Playtime (< 1 hr),No,No,Completed
796900,Trivia Vault: Mixed Trivia 2,0,0,Never Played,No,No,Not Started
845970,Trivia Vault: Movie Trivia,0,0,Never Played,No,No,Not Started
687480,Trivia Vault: Science & History Trivia,0,0,Never Played,No,No,Not Started
767030,Trivia Vault: Technology Trivia Deluxe,0,0,Never Played,No,No,Not Started
730220,Trivia Vault: Video Game Trivia Deluxe,0,0,Never Played,No,No,Not Started
57690,Tropico 4,341,5.68,Played,Yes,No,Not Started
1051200,Trover Saves the Universe,109,1.82,Played,Yes,No,Not Started
269710,Tumblestone,237,3.95,Played,Yes,No,Not Started
513780,Turbo Pug DX,175,2.92,Played,Yes,No,In Progress
1241170,Turnip Boy Commits Tax Evasion Demo,74,1.23,Played,No,No,No Achievements
769030,Twine3D,46,0.77,Short Playtime (< 1 hr),No,No,No Achievements
616560,Ultimate Epic Battle Simulator,58,0.97,Short Playtime (< 1 hr),No,No,No Achievements
1035510,Ultimate Zombie Defense,131,2.18,Played,Yes,No,Not Started
45760,Ultra Street Fighter IV,199,3.32,Played,Yes,No,Not Started
445840,Undead vs Plants,62,1.03,Played,No,No,No Achievements
489220,Unforgiving Trials: The Darkest Crusade,279,4.65,Played,Yes,No,No Achievements
218090,Unity of Command,0,0,Never Played,No,No,No Achievements
3062930,Unplagued,0,0,Never Played,No,No,No Achievements
13250,Unreal Gold,98,1.63,Played,No,No,No Achievements
1604030,V Rising,0,0,Never Played,No,No,Not Started
658700,V-Rally 4,1,0.02,Short Playtime (< 1 hr),No,No,Not Started
435780,VIOLET: Space Mission,52,0.87,Short Playtime (< 1 hr),No,No,No Achievements
438100,VRChat,460,7.67,Played,No,No,No Achievements
1938740,Valkyrie Nemesis,165,2.75,Played,No,No,Not Started
1724470,Valkyrie: Journey To Midgard,75,1.25,Played,No,No,No Achievements
211160,Viking: Battle for Asgard,57,0.95,Short Playtime (< 1 hr),No,No,Not Started
255520,Viscera Cleanup Detail: Shadow Warrior,63,1.05,Played,No,No,Not Started
867140,WIN THE GAME: WTF!,120,2,Played,No,No,Not Started
431960,Wallpaper Engine,432,7.2,Played,Yes,No,In Progress
801500,WannaMine,46,0.77,Short Playtime (< 1 hr),No,No,Not Started
230410,Warframe,1242,20.7,Long Playtime (> 10 hrs),Yes,No,Not Started
489630,"Warhammer 40,000: Gladius - Relics of War",0,0,Never Played,Yes,No,Not Started
55150,"Warhammer 40,000: Space Marine - Anniversary Edition",128,2.13,Played,Yes,No,Not Started
1022310,Warhammer Underworlds - Shadespire Edition,51,0.85,Short Playtime (< 1 hr),No,No,Not Started
235540,Warhammer: End Times - Vermintide,257,4.28,Played,Yes,No,Not Started
552500,Warhammer: Vermintide 2,0,0,Never Played,Yes,No,Not Started
737010,Warhammer: Vermintide 2 Closed Test,1,0.02,Short Playtime (< 1 hr),No,No,No Achievements
551110,WayOut,91,1.52,Played,Yes,No,Not Started
683830,Weable,221,3.68,Played,Yes,No,No Achievements
373600,Weapon of Choice,0,0,Never Played,Yes,No,Not Started
1384410,Werewolf: The Apocalypse - Heart of the Forest Demo,63,1.05,Played,No,No,No Achievements
2139020,What the Fog,0,0,Never Played,No,No,Not Started
500710,Wild Terra Online,220,3.67,Played,Yes,No,Not Started
640890,Will Glow the Wisp,58,0.97,Short Playtime (< 1 hr),No,No,Not Started
707010,Will To Live Online,56,0.93,Short Playtime (< 1 hr),No,No,No Achievements
649810,Windstorm: Start of a Great Friendship,159,2.65,Played,Yes,No,Not Started
646100,Woodlands,58,0.97,Short Playtime (< 1 hr),No,No,No Achievements
299460,Woodle Tree Adventures,31,0.52,Short Playtime (< 1 hr),Yes,No,Not Started
1334000,Wordle,271,4.52,Played,Yes,No,Not Started
1477020,Wordle 4,410,6.83,Played,Yes,No,Not Started
699130,World War Z,159,2.65,Played,Yes,No,Not Started
1407200,World of Tanks,323,5.38,Played,Yes,No,Not Started
790710,World of Warplanes,219,3.65,Played,Yes,No,No Achievements
552990,World of Warships,283,4.72,Played,Yes,No,Not Started
1281720,Worms Rumble Open Beta,80,1.33,Played,No,No,No Achievements
228380,Wreckfest,916,15.27,Long Playtime (> 10 hrs),No,No,In Progress
272860,Wreckfest Throw-A-Santa + Sneak Peek 2.0,0,0,Never Played,No,No,No Achievements
366220,Wurm Unlimited,292,4.87,Played,Yes,No,No Achievements
7510,X-Blades,146,2.43,Played,Yes,No,No Achievements
2019990,Yars: Recharged,0,0,Never Played,No,No,Not Started
270550,Yet Another Zombie Defense,104,1.73,Played,Yes,No,Not Started
215690,Zeno Clash 2,169,2.82,Played,Yes,No,Not Started
334920,Zero-K,48,0.8,Short Playtime (< 1 hr),No,No,No Achievements
682290,Zeus' Battlegrounds,56,0.93,Short Playtime (< 1 hr),No,No,Not Started
680550,Zombie Waiting,0,0,Never Played,No,No,No Achievements
718270,ZombieThon,71,1.18,Played,No,No,Not Started
297450,Zombies on a Plane,41,0.68,Short Playtime (< 1 hr),Yes,No,Not Started
823650,Zombow,103,1.72,Played,No,No,No Achievements
617670,Zup! S,139,2.32,Played,Yes,No,Completed
628750,aMAZE 2,163,2.72,Played,Yes,No,Not Started
667300,aMAZE 3D,0,0,Never Played,No,No,No Achievements
853860,aMAZE Classic,192,3.2,Played,No,No,Completed
692200,aMAZE Dark Times,62,1.03,Played,No,No,Not Started
736840,aMAZE Double,62,1.03,Played,No,No,Not Started
806850,aMAZE Gears,62,1.03,Played,No,No,Not Started
776540,aMAZE Untouchable,62,1.03,Played,No,No,Not Started
1665460,eFootball™,0,0,Never Played,No,No,No Achievements
